ลำดับ,ชื่อไทย,ชื่ออังกฤษ,หมวด,URL_รูปภาพ(วางตรงนี้)
476,"สุกี้แห้งรวมมิตร","Dry Suki",thai,
477,"ผัดขี้เมาหมู","Pad Kee Mao Pork",thai,
478,"ข้าวหมกไก่","Thai Chicken Biryani",thai,
479,"ข้าวคะน้าหมูกรอบ","Crispy Pork & Kale Rice",thai,
480,"ข้าวผัดต้มยำกุ้ง","Tom Yum Fried Rice",thai,
481,"ก๋วยเตี๋ยวหมูตุ๋น","Stewed Pork Noodles",thai,
482,"ก๋วยเตี๋ยวลูกชิ้นเนื้อ","Beef Ball Noodles",thai,
483,"ก้อยหมู","Koi Moo",thai,
484,"อ่อมหมู","Aom Moo (Isan Stew)",thai,
485,"ลาบเป็ด","Larb Duck",thai,
486,"หมกปลา","Mok Pla",thai,
487,"ฉู่ฉี่ปลา","Choo Chee Fish",thai,
488,"ฉู่ฉี่กุ้ง","Choo Chee Shrimp",thai,
489,"แกงเหลืองปักษ์ใต้","Southern Yellow Curry",thai,
490,"ผัดฉ่าทะเล","Pad Cha Seafood",thai,
491,"ผัดถั่วฝักยาวหมูสับ","Long Beans w/ Pork",thai,
492,"ผัดบรอกโคลีกุ้ง","Broccoli w/ Shrimp",thai,
493,"ผัดเห็ดรวมน้ำมันหอย","Mixed Mushrooms Stir-fry",thai,
494,"เต้าหู้ทรงเครื่อง","Tofu w/ Toppings",thai,
495,"ไก่จ๊อ","Chicken Roll (Kai Jor)",thai,
496,"หมูแดดเดียว","Sun-dried Pork",thai,
497,"เนื้อแดดเดียว","Sun-dried Beef",thai,
498,"ปลาสลิดทอด","Fried Gourami Fish",thai,
499,"กุนเชียง","Chinese Sausage",thai,
500,"หมูยอ","Vietnamese Pork Sausage",thai,
501,"ฮะเก๋า","Har Gow (3)",thai,
502,"ขนมกุยช่าย","Chive Dumplings (3)",thai,
503,"ขนมปังหน้าหมู","Pork Toast (3)",thai,
504,"ยำเนื้อย่าง","Grilled Beef Salad",thai,
505,"ยำหมูยอ","Vietnamese Sausage Salad",thai,
506,"ยำปลาดุกฟู","Crispy Catfish Salad",thai,
507,"พล่าปลาหมึก","Spicy Squid Salad",thai,
508,"ตำแตง","Spicy Cucumber Salad",thai,
509,"แกงจืดสาหร่ายหมูสับ","Seaweed & Pork Soup",thai,
510,"ต้มข่าทะเล","Tom Kha Seafood",thai,
511,"หมูสามชั้นทอด","Fried Pork Belly",thai,
512,"ไก่ทอดน้ำปลา","Fish Sauce Fried Chicken",thai,
513,"ปีกไก่ทอด","Fried Chicken Wings (3)",thai,
514,"ข้าวเหนียวหมูทอด","Sticky Rice & Fried Pork",thai,
515,"โจ๊กหมูไข่เยี่ยวม้า","Congee w/ Century Egg",thai,
516,"ผัดไทยห่อไข่","Pad Thai in Egg Wrap",thai,
517,"หอยจ๊อ","Crab Roll (Hoy Jor)",thai,
518,"ขนมเบื้องไส้เค็ม","Thai Crispy Pancake (2)",thai,
519,"ข้าวมันไก่ทอด","Fried Hainanese Chicken Rice",thai,
520,"ข้าวหน้าไก่","Chicken Gravy over Rice",thai,
521,"บะหมี่ต้มยำ","Tom Yum Egg Noodles",thai,
522,"เกาเหลาลูกชิ้น","Meatball Clear Soup",thai,
523,"ผัดกะเพราปลาหมึก","Krapow Squid",thai,
524,"แกงคั่วสับปะรดกุ้ง","Pineapple Shrimp Curry",thai,
525,"แกงกะทิหน่อไม้ดอง","Pickled Bamboo Curry",thai,
526,"น้ำพริกปลาทูผักสด","Nam Prik & Mackerel Set",thai,
527,"ข้าวคลุกน้ำพริกปลาทู","Nam Prik Rice w/ Mackerel",thai,
528,"แจ่วฮ้อน","Jaew Hon Hotpot",thai,
529,"ชาไทยปั่น","Thai Tea Frappe",drink,
530,"กาแฟปั่น","Coffee Frappe",drink,
531,"อเมริกาโน่เย็น","Iced Americano",drink,
532,"คาราเมลมัคคิอาโต้","Caramel Macchiato",drink,
533,"ช็อกโกแลตร้อน","Hot Chocolate",drink,
534,"น้ำผึ้งมะนาว","Honey Lemon",drink,
535,"น้ำอัญชันมะนาว","Butterfly Pea w/ Lime",drink,
536,"น้ำตะไคร้","Lemongrass Drink",drink,
537,"น้ำมะตูม","Bael Fruit Drink",drink,
538,"น้ำองุ่น","Grape Juice",drink,
539,"น้ำแอปเปิล","Apple Juice",drink,
540,"สไปร์ท","Sprite",drink,
541,"แฟนต้า","Fanta",drink,
542,"เครื่องดื่มชูกำลัง","Energy Drink",drink,
543,"เครื่องดื่มเกลือแร่","Sports Drink",drink,
544,"โซจู (1 ช็อต)","Soju (shot)",drink,
545,"นมเปรี้ยว","Cultured Milk Drink",drink,
546,"ชาอูหลง","Oolong Tea",drink,
547,"ชามะนาว","Lemon Tea",drink,
548,"น้ำสับปะรดปั่น","Pineapple Smoothie",drink,
549,"น้ำมะเขือเทศ","Tomato Juice",drink,
550,"นมอัลมอนด์","Almond Milk",drink,
551,"คุกกี้ช็อกชิป","Choc Chip Cookies (2)",dessert,
552,"มัฟฟินบลูเบอร์รี","Blueberry Muffin",dessert,
553,"ทาร์ตไข่","Egg Tart",dessert,
554,"บิงซู","Bingsu",dessert,
555,"กล้วยบวชชี","Banana in Coconut Milk",dessert,
556,"สาคูเปียกข้าวโพด","Sago w/ Corn",dessert,
557,"เฉาก๊วยนมสด","Grass Jelly w/ Milk",dessert,
558,"ขนมถ้วย","Thai Coconut Custard (3)",dessert,
559,"ฟักทองแกงบวด","Pumpkin in Coconut Milk",dessert,
560,"ข้าวเหนียวเปียกลำไย","Sticky Rice w/ Longan",dessert,
561,"ขนมเปียกปูน","Black Sticky Pudding",dessert,
562,"เค้กวานิลลา","Vanilla Cake",dessert,
563,"ไอติมหวานเย็น","Thai Ice Pop",dessert,
564,"โมจิ","Mochi (2)",dessert,
565,"ขนมหม้อแกง","Thai Baked Custard",dessert,
566,"พุดดิ้งคาราเมล","Caramel Pudding",dessert,
567,"โดนัทช็อกโกแลต","Chocolate Donut",dessert,
568,"เครปเค้กชาเขียว","Matcha Crepe Cake",dessert,
569,"มะม่วงน้ำดอกไม้","Nam Dok Mai Mango",fruit,
570,"ลองกอง","Longkong",fruit,
571,"น้อยหน่า","Custard Apple",fruit,
572,"ละมุด","Sapodilla",fruit,
573,"ทับทิม","Pomegranate",fruit,
574,"กีวี","Kiwi",fruit,
575,"บลูเบอร์รี","Blueberries",fruit,
576,"สตรอว์เบอร์รี","Strawberries",fruit,
577,"อะโวคาโด","Avocado",fruit,
578,"สาลี่","Asian Pear",fruit,
579,"มะเฟือง","Star Fruit",fruit,
580,"มะขามหวาน","Sweet Tamarind",fruit,
581,"อินทผลัม","Dates (5)",fruit,
582,"สละ","Salak (Snake Fruit)",fruit,
583,"ปลาเก๋านึ่งซีอิ๊ว","Steamed Grouper w/ Soy",seafood,
584,"ปลาหมึกนึ่งมะนาว","Steamed Squid w/ Lime",seafood,
585,"หอยเชลล์ย่างเนย","Grilled Scallops w/ Butter",seafood,
586,"หอยหวานลวก","Blanched Babylon Snails",seafood,
587,"ปูไข่ดอง","Marinated Crab Roe",seafood,
588,"กุ้งแช่น้ำปลา","Raw Shrimp in Fish Sauce",seafood,
589,"ปลาอินทรีย์เค็มทอด","Fried Salted Mackerel",seafood,
590,"ยำกุ้งสด","Spicy Raw Shrimp Salad",seafood,
591,"ปลากะพงทอดราดพริก","Fried Sea Bass w/ Chili",seafood,
592,"กุ้งซอสมะขาม","Tamarind Shrimp",seafood,
593,"ซูชิแซลมอน","Salmon Nigiri (2)",japanese,
594,"แคลิฟอร์เนียโรล","California Roll (6)",japanese,
595,"ทงคัตสึ","Tonkatsu",japanese,
596,"ราเมงต้มยำ","Tom Yum Ramen",japanese,
597,"กิวด้ง","Gyudon (Beef Bowl)",japanese,
598,"เกี๊ยวซ่า","Gyoza (5)",japanese,
599,"ต็อกบกกี","Tteokbokki",korean,
600,"กิมจิจิเก","Kimchi Stew",korean,
601,"ซัมกยอบซัล","Samgyeopsal",korean,
602,"จาจังมยอน","Jajangmyeon",chinese,
603,"เป็ดปักกิ่ง","Peking Duck (2 wraps)",chinese,
604,"สลัดอกไก่","Chicken Breast Salad",healthy,
605,"โอ๊ตมีลกล้วย","Oatmeal w/ Banana",healthy,
606,"ไข่ต้ม","Boiled Eggs (2)",healthy,
607,"อกไก่ย่าง","Grilled Chicken Breast",healthy,
